,Q Learning Algorithm,Episodes:1000,Obstacle Cross,,,
,,,,,,
,Shortest Path,,,,,
X-X-X-X,0.9,0.8,0.7,,,
0.9,18,18,18,,,
0.9,18,18,18,,,
0.9,18,18,18,,,
0.9,18,18,18,,,
0.9,18,18,18,,,
,,,,,,
0.8,18,18,18,,,
0.8,18,18,18,,,
0.8,18,18,18,,,
0.8,18,18,18,,,
0.8,18,18,18,,,
,,,,,,
0.7,18,18,18,,,
0.7,18,18,18,,,
0.7,18,18,18,,,
0.7,18,18,18,,,
0.7,18,18,18,,,
,,,,,,
,,,,,,
,Longest Path,,,,,
X-X-X-X,0.9,0.8,0.7,,,
0.9,221,221,221,,,
0.9,283,283,283,,,
0.9,471,471,471,,,
0.9,471,471,471,,,
0.9,471,471,471,,,
,,,,,,
0.8,471,471,471,,,
0.8,471,471,471,,,
0.8,471,471,471,,,
0.8,471,471,471,,,
0.8,471,471,471,,,
,,,,,,
0.7,471,471,471,,,
0.7,471,471,471,,,
0.7,471,471,471,,,
0.7,471,471,471,,,
0.7,471,471,471,,,
,,,,,,
,,,,,,
,Total time,,,,,
X-X-X-X,0.9,0.8,0.7,,,
0.9,01:12.5,01:34.3,01:41.5,,,
0.9,01:35.7,01:34.2,01:45.9,,,
0.9,01:52.9,01:52.4,01:56.2,,,
0.9,02:13.8,02:31.9,01:59.2,,,
0.9,01:49.5,02:02.7,02:05.7,,,
,,,,,,
0.8,01:47.5,02:23.5,01:55.6,,,
0.8,02:21.5,02:25.4,02:03.9,,,
0.8,02:40.7,03:25.8,02:42.8,,,
0.8,02:57.6,02:46.1,02:51.3,,,
0.8,03:05.2,03:07.3,03:10.1,,,
,,,,,,
0.7,02:44.9,03:28.0,03:15.0,,,
0.7,03:48.5,03:23.6,03:25.8,,,
0.7,03:27.9,03:56.8,03:32.9,,,
0.7,04:27.8,04:01.0,03:40.1,,,
0.7,03:59.0,04:02.2,03:40.3,,,
,,,,,,
,,,,,,
,Q Table,,,,,
XXXXXX,0.9,,0.8,,0.7,
,Final,Full,Final,Full,Final,Full
0.9,17,120,17,122,17,122
0.9,17,120,17,120,17,113
0.9,17,122,17,122,17,119
0.9,17,121,17,119,17,113
0.9,17,116,17,121,17,106
,,,,,,
0.8,17,120,17,120,17,114
0.8,17,121,17,114,17,119
0.8,17,113,17,122,17,114
0.8,17,121,17,118,17,119
0.8,17,120,16,111,17,117
,,,,,,
0.7,17,113,17,121,17,120
0.7,17,117,17,122,17,114
0.7,17,111,17,121,17,117
0.7,17,115,17,118,17,116
0.7,17,120,17,122,17,121
