,Q Learning Algorithm,Episodes:1000,Obstacle Walls

,Shortest Path
X-X-X-X,0.85,0.75
0.85,18,18
0.85,18,18
0.85,18,18
0.85,18,18
0.85,18,18

0.75,18,18
0.75,18,18
0.75,18,18
0.75,18,18
0.75,18,18


,Longest Path
X-X-X-X,0.85,0.75
0.85,282,282
0.85,282,282
0.85,486,486
0.85,486,486
0.85,486,486

0.75,486,486
0.75,486,486
0.75,486,486
0.75,486,486
0.75,486,486


,Total time
X-X-X-X,0.85,0.75
0.85,0:01:04.104755,0:01:27.013496
0.85,0:01:10.786054,0:01:15.023900
0.85,0:01:04.260628,0:01:12.642871
0.85,0:01:11.383706,0:01:39.306634
0.85,0:01:29.894609,0:01:19.259403

0.75,0:02:01.678104,0:01:28.290455
0.75,0:01:28.172287,0:02:05.357276
0.75,0:01:48.117615,0:02:16.838209
0.75,0:02:17.358387,0:01:43.949765
0.75,0:02:12.535016,0:02:45.797536


,Q Table
XXXXXX,0.85,,0.75,
,Final,Full,Final,Full
0.85,17,120,17,122
0.85,17,122,17,125
0.85,17,123,17,125
0.85,17,125,17,125
0.85,17,125,17,125

0.75,17,123,17,125
0.75,17,125,17,125
0.75,17,124,17,123
0.75,17,120,17,125
0.75,17,125,17,125

