,Q Learning Algorithm,Episodes:1000,In-Path Obstacle

,Shortest Path
X-X-X-X,0.9,0.8,0.7
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12
0.8,12,12,12


,Longest Path
X-X-X-X,0.9,0.8,0.7
0.8,69,69,99
0.8,126,126,157
0.8,224,224,224
0.8,224,224,224
0.8,224,224,224
0.8,224,224,224
0.8,224,224,224
0.8,224,224,224
0.8,224,224,224
0.8,224,224,224


,Total time
X-X-X-X,0.9,0.8,0.7
0.8,0:00:17.100573,0:00:15.372878,0:00:22.937821
0.8,0:00:31.743736,0:00:26.930178,0:00:31.919108
0.8,0:00:37.155011,0:00:37.853711,0:00:33.611028
0.8,0:00:37.820238,0:00:42.073021,0:00:38.122088
0.8,0:00:50.399975,0:00:41.232339,0:00:47.154824
0.8,0:00:49.734036,0:00:58.763949,0:00:52.714402
0.8,0:01:03.545251,0:00:51.224505,0:00:55.080749
0.8,0:01:01.174805,0:00:53.755120,0:01:05.721588
0.8,0:01:15.126653,0:00:59.335885,0:00:56.148701
0.8,0:01:12.224185,0:01:10.858088,0:00:58.121420


,Q Table
XXXXXX,0.9,,0.8,,0.7,
,Final,Full,Final,Full,Final,Full
0.8,11,73,11,66,11,73
0.8,11,69,11,68,11,73
0.8,11,73,11,73,11,68
0.8,11,70,11,73,11,73
0.8,11,66,11,73,11,72
0.8,11,73,11,73,11,73
0.8,11,73,11,68,11,71
0.8,11,72,11,73,11,73
0.8,11,72,11,73,11,73
0.8,11,71,11,72,11,70

