,SARSA Learning Algorithm,Episodes:700,Obstacle

,Shortest Path
X-X-X-X,0.9,0.8
0.8,10,10
0.8,10,10
0.8,10,10
0.8,10,10
0.8,10,10
0.8,10,10
0.8,10,10
0.8,10,10
0.8,10,10
0.8,10,10


,Longest Path
X-X-X-X,0.9,0.8
0.8,394,394
0.8,394,419
0.8,419,474
0.8,575,575
0.8,599,599
0.8,682,682
0.8,682,682
0.8,682,682
0.8,758,758
0.8,758,758


,Total time
X-X-X-X,0.9,0.8
0.8,0:00:14.964812,0:00:24.078295
0.8,0:00:18.307512,0:00:20.186890
0.8,0:00:21.361400,0:00:19.239425
0.8,0:00:21.148745,0:00:25.950351
0.8,0:00:21.655531,0:00:26.613566
0.8,0:01:00.058522,0:00:47.088194
0.8,0:00:37.512001,0:00:49.590916
0.8,0:00:37.661370,0:00:58.107398
0.8,0:00:48.212062,0:01:13.169381
0.8,0:00:47.593196,0:00:49.446652


,Q Table
XXXXXX,0.9,,0.8,
,Final,Full,Final,Full
0.8,9,81,9,81
0.8,9,80,9,81
0.8,9,81,9,81
0.8,9,81,9,81
0.8,9,81,9,80
0.8,9,81,9,81
0.8,9,81,9,81
0.8,9,81,9,81
0.8,9,81,9,81
0.8,9,81,9,81

